iter	Passed	Remaining
1445	15671	32773
1446	15682	32762
1447	15693	32752
1448	15705	32744
1449	15717	32736
1450	15729	32727
1451	15742	32721
1452	15756	32716
1453	15768	32707
1454	15779	32697
1455	15790	32687
1456	15801	32677
1457	15814	32669
1458	15826	32661
1459	15838	32652
1460	15849	32642
1461	15859	32630
1462	15869	32617
1463	15880	32607
1464	15891	32596
1465	15902	32586
1466	15913	32574
1467	15923	32562
1468	15933	32550
1469	15944	32539
1470	15954	32527
1471	15965	32515
1472	15977	32508
1473	15988	32497
1474	15999	32486
1475	16010	32476
1476	16021	32465
1477	16032	32455
1478	16043	32444
1479	16054	32433
1480	16065	32423
1481	16076	32413
1482	16087	32403
1483	16098	32392
1484	16109	32381
1485	16120	32371
1486	16131	32360
1487	16142	32350
1488	16153	32339
1489	16164	32328
1490	16174	32316
1491	16185	32304
1492	16196	32295
1493	16207	32285
1494	16218	32274
1495	16228	32261
1496	16238	32250
1497	16249	32238
1498	16259	32226
1499	16270	32215
1500	16280	32203
1501	16290	32191
1502	16301	32180
1503	16312	32168
1504	16322	32157
1505	16332	32145
1506	16343	32134
1507	16354	32122
1508	16365	32112
1509	16376	32101
1510	16386	32089
1511	16396	32077
1512	16406	32065
1513	16417	32053
1514	16427	32042
1515	16437	32029
1516	16447	32017
1517	16458	32006
1518	16468	31994
1519	16479	31982
1520	16489	31970
1521	16499	31958
1522	16509	31946
1523	16520	31934
1524	16530	31923
1525	16540	31910
1526	16551	31900
1527	16562	31888
1528	16572	31876
1529	16582	31863
1530	16592	31852
1531	16602	31839
1532	16612	31827
1533	16623	31815
1534	16633	31804
1535	16644	31792
1536	16654	31781
1537	16665	31770
1538	16675	31758
1539	16686	31748
1540	16697	31736
1541	16707	31724
1542	16717	31712
1543	16727	31700
1544	16737	31688
1545	16748	31676
1546	16758	31664
1547	16769	31653
1548	16780	31642
1549	16790	31630
1550	16801	31619
1551	16812	31610
1552	16823	31599
1553	16833	31586
1554	16843	31574
1555	16853	31562
1556	16864	31551
1557	16874	31539
1558	16884	31527
1559	16895	31516
1560	16905	31504
1561	16916	31493
1562	16927	31482
1563	16937	31470
1564	16947	31458
1565	16957	31446
1566	16967	31434
1567	16978	31422
1568	16988	31410
1569	16998	31398
1570	17009	31387
1571	17019	31376
1572	17030	31365
1573	17040	31353
1574	17051	31341
1575	17061	31329
1576	17071	31317
1577	17081	31305
1578	17091	31292
1579	17101	31280
1580	17111	31268
1581	17122	31257
1582	17132	31244
1583	17142	31233
1584	17153	31222
1585	17164	31211
1586	17174	31200
1587	17186	31190
1588	17197	31180
1589	17208	31169
1590	17218	31158
1591	17229	31146
1592	17239	31134
1593	17249	31123
1594	17260	31112
1595	17271	31102
1596	17282	31090
1597	17292	31079
1598	17302	31066
1599	17313	31055
1600	17323	31042
1601	17333	31031
1602	17343	31019
1603	17353	31007
1604	17365	30998
1605	17377	30989
1606	17388	30978
1607	17398	30966
1608	17408	30954
1609	17418	30942
1610	17428	30930
1611	17439	30918
1612	17449	30906
1613	17460	30897
1614	17471	30885
1615	17481	30874
1616	17493	30864
1617	17504	30854
1618	17515	30843
1619	17526	30833
1620	17537	30823
1621	17549	30813
1622	17559	30802
1623	17570	30792
1624	17581	30781
1625	17592	30770
1626	17603	30759
1627	17614	30748
1628	17625	30739
1629	17636	30727
1630	17646	30715
1631	17656	30703
1632	17666	30692
1633	17678	30682
1634	17688	30671
1635	17699	30660
